epoch,iteration,phase,total_loss,loc_loss,conf_loss
4,25,train,5.920684814453125,2.0738587379455566,3.8468263149261475
4,26,train,6.487832069396973,2.1289374828338623,4.358894348144531
4,27,train,6.398107528686523,1.9130098819732666,4.485097408294678
4,28,train,5.853199005126953,1.9218237400054932,3.93137526512146
4,29,train,5.964635372161865,2.113668203353882,3.8509671688079834
4,30,train,5.5783538818359375,1.990821361541748,3.5875327587127686
4,31,train,5.765970230102539,1.983047604560852,3.7829225063323975
4,32,train,5.595958232879639,2.0411787033081055,3.554779529571533
4,33,train,5.149308681488037,1.8236039876937866,3.32570481300354
4,34,train,5.551968574523926,2.002389907836914,3.5495786666870117
4,35,train,5.423698425292969,1.9408880472183228,3.4828104972839355
4,36,train,5.195912837982178,1.879856824874878,3.3160560131073
